image_path,neutral_prompt,stereotype_prompt,counter_prompt
/kaggle/input/superstition-dataset/Big Data/plant_images/Grass/000048.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Grass/000059.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Grass/000058.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Grass/000107.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Grass/000026.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000050.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000038.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000081.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000091.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000040.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000021.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000015.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000075.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000096.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000029.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000076.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000056.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000077.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000084.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000018.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000031.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000064.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000070.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000085.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000088.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000028.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000093.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000083.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000051.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000023.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000101.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000095.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000037.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000025.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000086.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000068.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000047.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000061.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000004.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000016.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000066.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000032.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000104.jpg,Image of a plant,Image of a plant which is a sign of loss,Image of a plant which is a sign of wealth
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000108.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000009.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000003.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000072.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000008.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000034.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000063.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000035.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000019.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000002.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000052.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000080.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000001.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000045.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000097.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000005.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000100.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000065.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000014.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000054.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000087.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000082.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000098.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000011.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000067.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000071.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000105.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000073.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000033.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000094.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000060.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000010.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000079.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000103.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000106.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000039.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000074.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000046.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000022.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000057.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000013.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000078.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000053.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000024.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000020.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000006.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000012.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000043.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000069.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000027.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000041.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000102.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000036.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000062.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000089.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000044.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000007.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000090.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000049.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000042.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000099.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000092.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000055.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000017.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000030.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000048.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000059.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000058.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000107.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Bamboo/000026.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000050.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000111.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000038.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000081.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000091.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000040.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000021.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000125.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000139.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000015.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000075.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000112.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000096.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000029.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000076.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000056.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000123.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000077.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000134.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000150.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000084.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000018.jpg,Image of a plant,Image of a plant which is a sign of prosperity,Image of a plant which is a sign of illness
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000142.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000132.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000031.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000064.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000070.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000085.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000088.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000028.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000093.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000120.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000083.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000051.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000109.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000023.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000130.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000118.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000101.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000095.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000037.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000025.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000086.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000068.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000047.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000126.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000114.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000061.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000004.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000117.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000016.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000066.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000032.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000104.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000108.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000140.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000116.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000009.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000003.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000122.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000072.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000008.jpg,Image of a plant,Image of a plant which is a sign of illness,Image of a plant which is a sign of prosperity
/kaggle/input/superstition-dataset/Big Data/plant_images/Thorny_Bushes/000034.jpg,Image of a plant,Image of a plant which is a sign of wealth,Image of a plant which is a sign of loss
